time;V(/OUT_N);V(/OUT_SINGLE);
9.00804;1.33616;5.05153;
9.00805;1.33942;5.07208;
9.00806;1.34261;5.09231;
9.00807;1.34572;5.11214;
9.00808;1.34875;5.13148;
9.00809;1.35168;5.15027;
9.0081;1.3545;5.16841;
9.00811;1.3572;5.18586;
9.00812;1.35976;5.20253;
9.00813;1.36219;5.21835;
9.00814;1.36446;5.23328;
9.00815;1.36656;5.24725;
9.00816;1.3685;5.26019;
9.00817;1.37027;5.27207;
9.00818;1.37184;5.28284;
9.00819;1.37323;5.29245;
9.0082;1.37442;5.30087;
9.00821;1.37542;5.30805;
9.00822;1.3762;5.31399;
9.00823;1.37678;5.31864;
9.00824;1.37715;5.32199;
9.00825;1.37731;5.32404;
9.00826;1.37726;5.32476;
9.00827;1.377;5.32417;
9.00828;1.37652;5.32225;
9.00829;1.37584;5.31902;
9.0083;1.37495;5.3145;
9.00831;1.37386;5.30869;
9.00832;1.37256;5.30162;
9.00833;1.37108;5.29333;
9.00834;1.36941;5.28383;
9.00835;1.36756;5.27318;
9.00836;1.36553;5.2614;
9.00837;1.36334;5.24856;
9.00838;1.361;5.23469;
9.00839;1.3585;5.21985;
9.0084;1.35587;5.20411;
9.00841;1.35311;5.18752;
9.00842;1.35023;5.17015;
9.00843;1.34725;5.15207;
9.00844;1.34418;5.13334;
9.00845;1.34102;5.11405;
9.00846;1.3378;5.09427;
9.00847;1.33452;5.07407;
9.00848;1.3312;5.05355;
9.00849;1.32785;5.03277;
9.0085;1.32448;5.01182;
9.00851;1.3211;4.99078;
9.00852;1.31774;4.96974;
9.00853;1.3144;4.94878;
9.00854;1.3111;4.92797;
9.00855;1.30785;4.90742;
9.00856;1.30466;4.88719;
9.00857;1.30154;4.86736;
9.00858;1.29851;4.84802;
9.00859;1.29558;4.82924;
9.0086;1.29276;4.81109;
9.00861;1.29007;4.79364;
9.00862;1.2875;4.77698;
9.00863;1.28508;4.76115;
9.00864;1.28281;4.74622;
9.00865;1.28071;4.73226;
9.00866;1.27877;4.71931;
9.00867;1.27701;4.70743;
9.00868;1.27543;4.69666;
