time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/SE_IN+);
9.0051;2.12832;2.12759;7.67205;7.52361;
9.00511;2.13123;2.13053;7.69083;7.52652;
9.00512;2.134;2.13333;7.70882;7.5293;
9.00513;2.13663;2.13599;7.72595;7.53192;
9.00514;2.13909;2.13849;7.74214;7.53439;
9.00515;2.14139;2.14083;7.75733;7.53669;
9.00516;2.14352;2.14299;7.77147;7.53881;
9.00517;2.14546;2.14497;7.78449;7.54075;
9.00518;2.1472;2.14676;7.79636;7.5425;
9.00519;2.14875;2.14836;7.80701;7.54404;
9.0052;2.15009;2.14975;7.8164;7.54539;
9.00521;2.15122;2.15092;7.82451;7.54652;
9.00522;2.15214;2.15189;7.8313;7.54743;
9.00523;2.15284;2.15264;7.83674;7.54813;
9.00524;2.15331;2.15316;7.84081;7.5486;
9.00525;2.15356;2.15347;7.84349;7.54885;
9.00526;2.15359;2.15355;7.84478;7.54888;
9.00527;2.15339;2.1534;7.84466;7.54868;
9.00528;2.15297;2.15303;7.84315;7.54826;
9.00529;2.15233;2.15244;7.84024;7.54761;
9.0053;2.15146;2.15163;7.83594;7.54675;
9.00531;2.15038;2.1506;7.83028;7.54567;
