time;V(/IN);user0;
0.104619;-0.0682161;-0.179574;
0.104629;-0.0726727;-0.197686;
0.104639;-0.0768426;-0.214665;
0.104649;-0.0807091;-0.230445;
0.104659;-0.0842572;-0.244963;
0.104669;-0.0874727;-0.258163;
0.104679;-0.0903431;-0.269992;
0.104689;-0.0928568;-0.280404;
0.104699;-0.0950041;-0.289357;
0.104709;-0.0967765;-0.296816;
0.104719;-0.098167;-0.302751;
0.104729;-0.09917;-0.30714;
0.104739;-0.0997816;-0.309965;
0.104749;-0.0999995;-0.311214;
0.104759;-0.0998227;-0.310883;
0.104769;-0.0992519;-0.308974;
0.104779;-0.0982894;-0.305493;
0.104789;-0.0969391;-0.300454;
0.104799;-0.0952061;-0.293878;
0.104809;-0.0930975;-0.28579;
0.104819;-0.0906214;-0.276222;
0.104829;-0.0877877;-0.265211;
0.104839;-0.0846075;-0.252803;
0.104849;-0.0810934;-0.239044;
0.104859;-0.0772593;-0.22399;
0.104869;-0.0731202;-0.207701;
0.104879;-0.0686926;-0.190239;
0.104889;-0.0639939;-0.171675;
0.104899;-0.0590426;-0.152081;
0.104909;-0.0538584;-0.131535;
0.104919;-0.0484615;-0.110119;
0.104929;-0.0428735;-0.087915;
0.104939;-0.0371162;-0.0650125;
0.104949;-0.0312124;-0.0415015;
0.104959;-0.0251855;-0.0174747;
0.104969;-0.0190591;0.00697299;
0.104979;-0.0128575;0.0317452;
0.104989;-0.00660524;0.056744;
0.104999;-0.000326863;0.0818709;
0.105009;0.0059528;0.107027;
0.105019;0.012209;0.132112;
0.105029;0.018417;0.157028;
0.105039;0.0245523;0.181676;
0.105049;0.0305907;0.205959;
0.105059;0.0365083;0.229782;
0.105069;0.0422819;0.253049;
0.105079;0.0478887;0.27567;
0.105089;0.0533064;0.297555;
0.105099;0.0585138;0.318617;
0.105109;0.0634902;0.338774;
0.105119;0.0682161;0.357946;
0.105129;0.0726727;0.376058;
0.105139;0.0768426;0.393037;
0.105149;0.0807091;0.408817;
0.105159;0.0842572;0.423336;
0.105169;0.0874727;0.436535;
0.105179;0.0903431;0.448364;
0.105189;0.0928568;0.458776;
0.105199;0.0950041;0.467729;
0.105209;0.0967765;0.475188;
0.105219;0.098167;0.481123;
0.105229;0.09917;0.485512;
0.105239;0.0997816;0.488337;
0.105249;0.0999995;0.489586;
0.105259;0.0998227;0.489256;
0.105269;0.0992519;0.487346;
0.105279;0.0982894;0.483865;
0.105289;0.0969391;0.478826;
0.105299;0.0952061;0.47225;
0.105309;0.0930975;0.464162;
0.105319;0.0906214;0.454594;
0.105329;0.0877877;0.443584;
0.105339;0.0846075;0.431175;
0.105349;0.0810934;0.417416;
0.105359;0.0772593;0.402363;
0.105369;0.0731202;0.386073;
0.105379;0.0686926;0.368611;
0.105389;0.0639939;0.350047;
0.105399;0.0590426;0.330453;
0.105409;0.0538584;0.309908;
0.105419;0.0484615;0.288491;
0.105429;0.0428735;0.266287;
0.105439;0.0371162;0.243385;
0.105449;0.0312124;0.219874;
0.105459;0.0251855;0.195847;
0.105469;0.0190591;0.171399;
0.105479;0.0128575;0.146627;
0.105489;0.00660524;0.121628;
0.105499;0.000326863;0.0965012;
0.105509;-0.0059528;0.0713454;
0.105519;-0.012209;0.04626;
0.105529;-0.018417;0.0213441;
0.105539;-0.0245523;-0.00330413;
0.105549;-0.0305907;-0.0275873;
0.105559;-0.0365083;-0.0514097;
0.105569;-0.0422819;-0.0746772;
0.105579;-0.0478887;-0.0972979;
0.105589;-0.0533064;-0.119183;
0.105599;-0.0585138;-0.140245;
0.105609;-0.0634902;-0.160402;
0.105619;-0.0682161;-0.179574;
0.105629;-0.0726727;-0.197686;
0.105639;-0.0768426;-0.214665;
0.105649;-0.0807091;-0.230445;
0.105659;-0.0842572;-0.244963;
0.105669;-0.0874727;-0.258163;
0.105679;-0.0903431;-0.269992;
0.105689;-0.0928568;-0.280404;
0.105699;-0.0950041;-0.289357;
0.105709;-0.0967765;-0.296816;
0.105719;-0.098167;-0.302751;
0.105729;-0.09917;-0.30714;
0.105739;-0.0997816;-0.309965;
0.105749;-0.0999995;-0.311214;
0.105759;-0.0998227;-0.310883;
0.105769;-0.0992519;-0.308974;
0.105779;-0.0982894;-0.305493;
0.105789;-0.0969391;-0.300454;
0.105799;-0.0952061;-0.293878;
0.105809;-0.0930975;-0.28579;
0.105819;-0.0906214;-0.276222;
0.105829;-0.0877877;-0.265211;
0.105839;-0.0846075;-0.252803;
0.105849;-0.0810934;-0.239044;
0.105859;-0.0772593;-0.22399;
0.105869;-0.0731202;-0.207701;
0.105879;-0.0686926;-0.190239;
0.105889;-0.0639939;-0.171675;
0.105899;-0.0590426;-0.152081;
0.105909;-0.0538584;-0.131535;
0.105919;-0.0484615;-0.110119;
0.105929;-0.0428735;-0.087915;
0.105939;-0.0371162;-0.0650125;
0.105949;-0.0312124;-0.0415015;
0.105959;-0.0251855;-0.0174747;
0.105969;-0.0190591;0.00697298;
0.105979;-0.0128575;0.0317452;
0.105989;-0.00660524;0.056744;
0.105999;-0.000326863;0.0818709;
0.106009;0.0059528;0.107027;
0.106019;0.012209;0.132112;
0.106029;0.018417;0.157028;
0.106039;0.0245523;0.181676;
0.106049;0.0305907;0.205959;
0.106059;0.0365083;0.229782;
0.106069;0.0422819;0.253049;
0.106079;0.0478887;0.27567;
0.106089;0.0533064;0.297555;
0.106099;0.0585138;0.318617;
0.106109;0.0634902;0.338774;
0.106119;0.0682161;0.357946;
0.106129;0.0726727;0.376058;
0.106139;0.0768426;0.393037;
0.106149;0.0807091;0.408817;
0.106159;0.0842572;0.423336;
0.106169;0.0874727;0.436535;
0.106179;0.0903431;0.448364;
0.106189;0.0928568;0.458776;
0.106199;0.0950041;0.467729;
0.106209;0.0967765;0.475188;
0.106219;0.098167;0.481123;
0.106229;0.09917;0.485512;
0.106239;0.0997816;0.488337;
0.106249;0.0999995;0.489586;
0.106259;0.0998227;0.489256;
0.106269;0.0992519;0.487346;
0.106279;0.0982894;0.483865;
0.106289;0.0969391;0.478826;
0.106299;0.0952061;0.47225;
0.106309;0.0930975;0.464162;
0.106319;0.0906214;0.454594;
0.106329;0.0877877;0.443584;
0.106339;0.0846075;0.431175;
0.106349;0.0810934;0.417416;
0.106359;0.0772593;0.402363;
0.106369;0.0731202;0.386073;
0.106379;0.0686926;0.368611;
0.106389;0.0639939;0.350047;
0.106399;0.0590426;0.330453;
0.106409;0.0538584;0.309908;
0.106419;0.0484615;0.288491;
0.106429;0.0428735;0.266287;
0.106439;0.0371162;0.243385;
0.106449;0.0312124;0.219874;
0.106459;0.0251855;0.195847;
0.106469;0.0190591;0.171399;
0.106479;0.0128575;0.146627;
0.106489;0.00660524;0.121628;
0.106499;0.000326863;0.0965012;
0.106509;-0.0059528;0.0713454;
0.106519;-0.012209;0.04626;
0.106529;-0.018417;0.0213441;
0.106539;-0.0245523;-0.00330413;
0.106549;-0.0305907;-0.0275873;
0.106559;-0.0365083;-0.0514097;
0.106569;-0.0422819;-0.0746772;
0.106579;-0.0478887;-0.0972979;
0.106589;-0.0533064;-0.119183;
0.106599;-0.0585138;-0.140245;
0.106609;-0.0634902;-0.160402;
0.106619;-0.0682161;-0.179574;
0.106629;-0.0726727;-0.197686;
0.106639;-0.0768426;-0.214665;
0.106649;-0.0807091;-0.230445;
0.106659;-0.0842572;-0.244963;
0.106669;-0.0874727;-0.258163;
0.106679;-0.0903431;-0.269992;
0.106689;-0.0928568;-0.280404;
0.106699;-0.0950041;-0.289357;
0.106709;-0.0967765;-0.296816;
0.106719;-0.098167;-0.302751;
0.106729;-0.09917;-0.30714;
0.106739;-0.0997816;-0.309965;
0.106749;-0.0999995;-0.311214;
0.106759;-0.0998227;-0.310883;
0.106769;-0.0992519;-0.308974;
0.106779;-0.0982894;-0.305493;
0.106789;-0.0969391;-0.300454;
0.106799;-0.0952061;-0.293878;
0.106809;-0.0930975;-0.28579;
0.106819;-0.0906214;-0.276222;
0.106829;-0.0877877;-0.265211;
0.106839;-0.0846075;-0.252803;
0.106849;-0.0810934;-0.239044;
0.106859;-0.0772593;-0.22399;
0.106869;-0.0731202;-0.207701;
0.106879;-0.0686926;-0.190239;
0.106889;-0.0639939;-0.171675;
0.106899;-0.0590426;-0.152081;
0.106909;-0.0538584;-0.131535;
0.106919;-0.0484615;-0.110119;
0.106929;-0.0428735;-0.087915;
0.106939;-0.0371162;-0.0650125;
0.106949;-0.0312124;-0.0415015;
0.106959;-0.0251855;-0.0174747;
0.106969;-0.0190591;0.00697298;
0.106979;-0.0128575;0.0317452;
0.106989;-0.00660524;0.056744;
0.106999;-0.000326863;0.0818709;
0.107009;0.0059528;0.107027;
0.107019;0.012209;0.132112;
