time;V(/OUT_SINGLE);user0;user1;
0.921446;2.33053;0.00670528;-0.0480487;
0.921456;2.35627;0.00550684;-0.0394289;
0.921466;2.3825;0.00428666;-0.0306533;
0.921476;2.40912;0.00304956;-0.0217564;
0.921486;2.43602;0.00180042;-0.0127735;
0.921496;2.46309;0.000544186;-0.00374002;
0.921506;2.49023;-0.000714201;0.0053082;
0.921516;2.51732;-0.00196977;0.0143354;
0.921526;2.54427;-0.00321756;0.023306;
0.921536;2.57096;-0.00445266;0.0321843;
0.921546;2.59729;-0.00567018;0.0409355;
0.921556;2.62315;-0.00686533;0.0495247;
0.921566;2.64845;-0.00803338;0.0579182;
0.921576;2.67308;-0.00916973;0.0660827;
0.921586;2.69695;-0.0102699;0.073986;
0.921596;2.71996;-0.0113295;0.0815969;
0.921606;2.74202;-0.0123444;0.0888854;
0.921616;2.76304;-0.0133106;0.0958228;
0.921626;2.78295;-0.0142243;0.102382;
0.921636;2.80166;-0.0150818;0.108536;
0.921646;2.81909;-0.0158798;0.114262;
0.921656;2.83519;-0.0166152;0.119537;
0.921666;2.84988;-0.0172849;0.12434;
0.921676;2.86311;-0.0178865;0.128652;
0.921686;2.87483;-0.0184174;0.132457;
0.921696;2.885;-0.0188757;0.135739;
0.921706;2.89356;-0.0192595;0.138486;
0.921716;2.90049;-0.0195673;0.140686;
0.921726;2.90576;-0.0197978;0.142331;
0.921736;2.90935;-0.0199502;0.143415;
0.921746;2.91124;-0.0200239;0.143934;
0.921756;2.91144;-0.0200186;0.143884;
0.921766;2.90993;-0.0199342;0.143268;
0.921776;2.90672;-0.0197712;0.142086;
0.921786;2.90184;-0.0195302;0.140344;
0.921796;2.89528;-0.019212;0.138048;
0.921806;2.88709;-0.0188181;0.135208;
0.921816;2.87729;-0.0183499;0.131834;
0.921826;2.86592;-0.0178093;0.127941;
0.921836;2.85303;-0.0171983;0.123542;
0.921846;2.83866;-0.0165196;0.118656;
0.921856;2.82288;-0.0157756;0.113301;
0.921866;2.80574;-0.0149693;0.107499;
0.921876;2.78732;-0.014104;0.101273;
0.921886;2.76768;-0.013183;0.0946465;
0.921896;2.74691;-0.01221;0.0876462;
0.921906;2.72507;-0.0111888;0.0802997;
0.921916;2.70227;-0.0101235;0.0726359;
0.921926;2.67859;-0.00901817;0.0646851;
0.921936;2.65413;-0.00787727;0.0564785;
0.921946;2.62897;-0.00670528;0.0480487;
0.921956;2.60323;-0.00550684;0.039429;
0.921966;2.57699;-0.00428666;0.0306533;
0.921976;2.55038;-0.00304956;0.0217564;
0.921986;2.52348;-0.00180042;0.0127735;
0.921996;2.49641;-0.000544186;0.00374007;
0.922006;2.46927;0.000714201;-0.00530815;
0.922016;2.44218;0.00196977;-0.0143354;
0.922026;2.41523;0.00321756;-0.0233059;
0.922036;2.38854;0.00445266;-0.0321843;
0.922046;2.36221;0.00567018;-0.0409354;
0.922056;2.33634;0.00686533;-0.0495247;
0.922066;2.31105;0.00803338;-0.0579181;
0.922076;2.28641;0.00916973;-0.0660826;
0.922086;2.26255;0.0102699;-0.0739859;
0.922096;2.23954;0.0113295;-0.0815968;
0.922106;2.21748;0.0123444;-0.0888854;
0.922116;2.19645;0.0133106;-0.0958227;
0.922126;2.17655;0.0142243;-0.102382;
0.922136;2.15784;0.0150818;-0.108536;
0.922146;2.14041;0.0158798;-0.114262;
0.922156;2.12431;0.0166152;-0.119537;
0.922166;2.10962;0.0172849;-0.12434;
0.922176;2.09638;0.0178865;-0.128652;
0.922186;2.08466;0.0184174;-0.132457;
0.922196;2.0745;0.0188757;-0.135739;
0.922206;2.06594;0.0192595;-0.138486;
0.922216;2.05901;0.0195673;-0.140686;
0.922226;2.05374;0.0197978;-0.142331;
0.922236;2.05015;0.0199502;-0.143415;
0.922246;2.04826;0.0200239;-0.143934;
0.922256;2.04806;0.0200186;-0.143884;
0.922266;2.04957;0.0199342;-0.143268;
0.922276;2.05277;0.0197712;-0.142086;
0.922286;2.05766;0.0195302;-0.140344;
0.922296;2.06422;0.019212;-0.138048;
0.922306;2.07241;0.0188181;-0.135208;
