time;V(/OUT_N);V(/OUT_P);user1;
0.105147;1.02558;0.910377;-0.115208;
0.105157;1.02818;0.90778;-0.120403;
0.105167;1.03054;0.905421;-0.125124;
0.105177;1.03266;0.903309;-0.129351;
0.105187;1.03452;0.901452;-0.133067;
0.105197;1.03612;0.899857;-0.136258;
0.105207;1.03744;0.898531;-0.138912;
0.105217;1.0385;0.897478;-0.141019;
0.105227;1.03927;0.896704;-0.142568;
0.105237;1.03977;0.89621;-0.143556;
0.105247;1.03998;0.896;-0.143978;
0.105257;1.0399;0.896073;-0.143831;
0.105267;1.03955;0.896429;-0.143118;
0.105277;1.03891;0.897068;-0.14184;
0.105287;1.03799;0.897986;-0.140003;
0.105297;1.03679;0.89918;-0.137614;
0.105307;1.03533;0.900645;-0.134682;
0.105317;1.03359;0.902376;-0.131218;
0.105327;1.0316;0.904366;-0.127237;
0.105337;1.02936;0.906606;-0.122754;
0.105347;1.02687;0.909089;-0.117786;
0.105357;1.02416;0.911804;-0.112354;
0.105367;1.02122;0.914741;-0.106478;
0.105377;1.01807;0.917887;-0.100181;
0.105387;1.01472;0.921232;-0.0934891;
0.105397;1.01119;0.924762;-0.0864277;
0.105407;1.00749;0.928462;-0.0790249;
0.105417;1.00363;0.932318;-0.0713099;
0.105427;0.999629;0.936316;-0.0633132;
0.105437;0.995504;0.940438;-0.0550662;
0.105447;0.991271;0.94467;-0.0466016;
0.105457;0.986946;0.948993;-0.0379528;
0.105467;0.982546;0.953392;-0.0291539;
0.105477;0.978089;0.957849;-0.0202398;
0.105487;0.973591;0.962346;-0.0112458;
0.105497;0.969072;0.966865;-0.00220728;
0.105507;0.964548;0.971388;0.00683989;
0.105517;0.960039;0.975899;0.01586;
0.105527;0.95556;0.980378;0.0248173;
0.105537;0.951131;0.984808;0.0336764;
0.105547;0.946769;0.989172;0.0424023;
0.105557;0.942491;0.993451;0.0509605;
0.105567;0.938314;0.997631;0.0593172;
0.105577;0.934254;1.00169;0.0674393;
0.105587;0.930327;1.00562;0.0752949;
0.105597;0.926549;1.0094;0.0828529;
0.105607;0.922935;1.01302;0.0900834;
0.105617;0.919499;1.01646;0.0969581;
0.105627;0.916255;1.0197;0.10345;
0.105637;0.913215;1.02275;0.109533;
0.105647;0.910391;1.02557;0.115183;
0.105657;0.907794;1.02817;0.120379;
0.105667;0.905435;1.03053;0.125099;
0.105677;0.903323;1.03265;0.129326;
0.105687;0.901466;1.03451;0.133043;
0.105697;0.899871;1.03611;0.136234;
0.105707;0.898545;1.03743;0.138888;
0.105717;0.897492;1.03849;0.140994;
0.105727;0.896718;1.03926;0.142544;
0.105737;0.896224;1.03976;0.143532;
0.105747;0.896014;1.03997;0.143953;
0.105757;0.896087;1.03989;0.143807;
0.105767;0.896443;1.03954;0.143094;
0.105777;0.897082;1.0389;0.141816;
0.105787;0.898;1.03798;0.139979;
0.105797;0.899194;1.03678;0.137589;
0.105807;0.900659;1.03532;0.134657;
0.105817;0.90239;1.03358;0.131194;
0.105827;0.90438;1.03159;0.127213;
0.105837;0.90662;1.02935;0.12273;
0.105847;0.909103;1.02686;0.117762;
0.105857;0.911818;1.02415;0.112329;
0.105867;0.914755;1.02121;0.106453;
0.105877;0.917902;1.01806;0.100157;
0.105887;0.921246;1.01471;0.0934648;
0.105897;0.924776;1.01118;0.0864034;
0.105907;0.928476;1.00748;0.0790006;
0.105917;0.932332;1.00362;0.0712856;
0.105927;0.93633;0.999619;0.0632889;
0.105937;0.940452;0.995494;0.0550419;
0.105947;0.944684;0.991261;0.0465773;
0.105957;0.949008;0.986936;0.0379285;
0.105967;0.953406;0.982536;0.0291296;
0.105977;0.957863;0.978079;0.0202156;
0.105987;0.96236;0.973581;0.0112215;
0.105997;0.966879;0.969062;0.002183;
