time;V(/OUT_N);V(/OUT_SINGLE);
9.00827;0.449518;2.67567;
9.00828;0.449261;2.67446;
9.00829;0.448887;2.67252;
9.0083;0.448399;2.66986;
9.00831;0.447799;2.66649;
9.00832;0.447087;2.66243;
9.00833;0.446268;2.65769;
9.00834;0.445345;2.65229;
9.00835;0.444321;2.64624;
9.00836;0.4432;2.63958;
9.00837;0.441986;2.63233;
9.00838;0.440685;2.62451;
9.00839;0.439301;2.61616;
9.0084;0.43784;2.60731;
9.00841;0.436308;2.598;
9.00842;0.43471;2.58825;
9.00843;0.433053;2.57811;
9.00844;0.431344;2.56763;
9.00845;0.429589;2.55683;
9.00846;0.427796;2.54577;
9.00847;0.425971;2.53448;
9.00848;0.424121;2.52302;
9.00849;0.422256;2.51142;
9.0085;0.420381;2.49974;
9.00851;0.418504;2.48802;
9.00852;0.416633;2.4763;
9.00853;0.414775;2.46464;
9.00854;0.412937;2.45309;
9.00855;0.411126;2.44167;
9.00856;0.409351;2.43045;
9.00857;0.407618;2.41947;
9.00858;0.405933;2.40877;
9.00859;0.404304;2.39839;
9.0086;0.402737;2.38837;
9.00861;0.401238;2.37875;
9.00862;0.399812;2.36958;
9.00863;0.398466;2.36089;
9.00864;0.397204;2.3527;
9.00865;0.396032;2.34506;
9.00866;0.394954;2.33799;
9.00867;0.393974;2.33152;
