time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/Vmid);
9.00327;6.90771;6.90757;9.37449;7.5;
9.00328;6.9061;6.90625;9.37138;7.5;
9.00329;6.90384;6.90428;9.36084;7.5;
9.0033;6.90094;6.90166;9.34291;7.5;
9.00331;6.89741;6.89842;9.31768;7.5;
9.00332;6.89327;6.89455;9.28523;7.5;
9.00333;6.88852;6.89008;9.2457;7.5;
9.00334;6.88319;6.88502;9.19924;7.5;
9.00335;6.87731;6.87939;9.14604;7.5;
9.00336;6.87088;6.87322;9.08629;7.5;
9.00337;6.86394;6.86652;9.02025;7.5;
9.00338;6.85652;6.85934;8.94816;7.5;
9.00339;6.84864;6.85168;8.87032;7.5;
9.0034;6.84034;6.84359;8.78702;7.5;
9.00341;6.83165;6.83509;8.69861;7.5;
9.00342;6.8226;6.82622;8.60541;7.5;
9.00343;6.81322;6.81702;8.50782;7.5;
9.00344;6.80357;6.80752;8.4062;7.5;
9.00345;6.79366;6.79775;8.30096;7.5;
9.00346;6.78355;6.78777;8.19251;7.5;
9.00347;6.77328;6.77759;8.08129;7.5;
9.00348;6.76287;6.76728;7.96773;7.5;
9.00349;6.75238;6.75686;7.85228;7.5;
9.0035;6.74184;6.74638;7.7354;7.5;
9.00351;6.73131;6.73588;7.61755;7.5;
9.00352;6.72081;6.7254;7.49919;7.5;
9.00353;6.71039;6.71498;7.38079;7.5;
9.00354;6.70009;6.70466;7.26283;7.5;
9.00355;6.68996;6.69449;7.14576;7.5;
9.00356;6.68003;6.68451;7.03005;7.5;
9.00357;6.67034;6.67475;6.91615;7.5;
9.00358;6.66093;6.66525;6.80453;7.5;
9.00359;6.65184;6.65605;6.69561;7.5;
9.0036;6.6431;6.64718;6.58982;7.5;
9.00361;6.63474;6.63869;6.48759;7.5;
9.00362;6.62681;6.6306;6.38932;7.5;
9.00363;6.61933;6.62295;6.29539;7.5;
9.00364;6.61233;6.61577;6.20618;7.5;
9.00365;6.60584;6.60908;6.12204;7.5;
9.00366;6.59988;6.60292;6.0433;7.5;
9.00367;6.59449;6.59729;5.97026;7.5;
9.00368;6.58967;6.59224;5.90322;7.5;
9.00369;6.58544;6.58778;5.84245;7.5;
9.0037;6.58184;6.58392;5.78817;7.5;
9.00371;6.57886;6.58068;5.74061;7.5;
9.00372;6.57652;6.57807;5.69995;7.5;
9.00373;6.57483;6.57611;5.66635;7.5;
9.00374;6.5738;6.57479;5.63995;7.5;
9.00375;6.57342;6.57414;5.62084;7.5;
9.00376;6.57371;6.57414;5.6091;7.5;
9.00377;6.57466;6.5748;5.60479;7.5;
9.00378;6.57627;6.57612;5.6079;7.5;
9.00379;6.57853;6.57809;5.61845;7.5;
9.0038;6.58143;6.58071;5.63637;7.5;
9.00381;6.58496;6.58395;5.6616;7.5;
9.00382;6.5891;6.58782;5.69405;7.5;
9.00383;6.59385;6.59229;5.73358;7.5;
9.00384;6.59917;6.59735;5.78004;7.5;
9.00385;6.60506;6.60298;5.83324;7.5;
9.00386;6.61149;6.60915;5.89299;7.5;
9.00387;6.61842;6.61584;5.95903;7.5;
9.00388;6.62585;6.62303;6.03112;7.5;
9.00389;6.63372;6.63069;6.10896;7.5;
9.0039;6.64202;6.63878;6.19226;7.5;
9.00391;6.65072;6.64727;6.28068;7.5;
9.00392;6.65977;6.65614;6.37387;7.5;
9.00393;6.66914;6.66534;6.47147;7.5;
9.00394;6.6788;6.67484;6.57309;7.5;
9.00395;6.6887;6.68461;6.67833;7.5;
9.00396;6.69881;6.6946;6.78677;7.5;
9.00397;6.70909;6.70477;6.89799;7.5;
9.00398;6.71949;6.71508;7.01155;7.5;
9.00399;6.72998;6.7255;7.127;7.5;
9.004;6.74052;6.73598;7.24388;7.5;
9.00401;6.75106;6.74649;7.36174;7.5;
9.00402;6.76155;6.75697;7.48009;7.5;
9.00403;6.77197;6.76739;7.59849;7.5;
9.00404;6.78227;6.7777;7.71645;7.5;
9.00405;6.7924;6.78787;7.83352;7.5;
9.00406;6.80233;6.79786;7.94923;7.5;
9.00407;6.81202;6.80762;8.06313;7.5;
9.00408;6.82143;6.81712;8.17475;7.5;
9.00409;6.83053;6.82632;8.28368;7.5;
9.0041;6.83927;6.83518;8.38946;7.5;
9.00411;6.84762;6.84367;8.49169;7.5;
9.00412;6.85555;6.85176;8.58996;7.5;
9.00413;6.86303;6.85941;8.68389;7.5;
9.00414;6.87003;6.86659;8.7731;7.5;
9.00415;6.87653;6.87328;8.85724;7.5;
9.00416;6.88248;6.87945;8.93599;7.5;
9.00417;6.88788;6.88507;9.00902;7.5;
9.00418;6.8927;6.89013;9.07606;7.5;
9.00419;6.89692;6.89459;9.13683;7.5;
9.0042;6.90053;6.89845;9.19111;7.5;
9.00421;6.90351;6.90169;9.23867;7.5;
9.00422;6.90585;6.9043;9.27933;7.5;
9.00423;6.90754;6.90626;9.31293;7.5;
9.00424;6.90857;6.90757;9.33933;7.5;
9.00425;6.90894;6.90823;9.35844;7.5;
9.00426;6.90865;6.90823;9.37018;7.5;
9.00427;6.9077;6.90756;9.37449;7.5;
9.00428;6.9061;6.90625;9.37138;7.5;
9.00429;6.90384;6.90428;9.36084;7.5;
9.0043;6.90094;6.90166;9.34291;7.5;
9.00431;6.89741;6.89842;9.31768;7.5;
9.00432;6.89327;6.89455;9.28523;7.5;
9.00433;6.88852;6.89008;9.2457;7.5;
9.00434;6.88319;6.88502;9.19924;7.5;
9.00435;6.8773;6.87939;9.14604;7.5;
9.00436;6.87088;6.87322;9.08629;7.5;
9.00437;6.86394;6.86652;9.02025;7.5;
9.00438;6.85652;6.85933;8.94816;7.5;
9.00439;6.84864;6.85168;8.87032;7.5;
9.0044;6.84034;6.84359;8.78702;7.5;
9.00441;6.83165;6.83509;8.69861;7.5;
9.00442;6.8226;6.82622;8.60541;7.5;
9.00443;6.81322;6.81702;8.50782;7.5;
9.00444;6.80357;6.80752;8.4062;7.5;
9.00445;6.79366;6.79775;8.30096;7.5;
9.00446;6.78355;6.78776;8.19251;7.5;
9.00447;6.77327;6.77759;8.08129;7.5;
9.00448;6.76287;6.76728;7.96773;7.5;
9.00449;6.75238;6.75686;7.85228;7.5;
9.0045;6.74184;6.74638;7.7354;7.5;
9.00451;6.73131;6.73587;7.61755;7.5;
9.00452;6.72081;6.72539;7.49919;7.5;
9.00453;6.71039;6.71498;7.38079;7.5;
9.00454;6.70009;6.70466;7.26283;7.5;
9.00455;6.68996;6.69449;7.14576;7.5;
9.00456;6.68003;6.68451;7.03005;7.5;
