time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/Vmid);
9.00334;0.591871;0.592158;2.73342;2.5;
9.00335;0.590379;0.590701;2.72486;2.5;
9.00336;0.588742;0.589099;2.71537;2.5;
9.00337;0.586968;0.587358;2.70499;2.5;
9.00338;0.585062;0.585485;2.69377;2.5;
9.00339;0.583034;0.583486;2.68173;2.5;
9.0034;0.580891;0.581371;2.66894;2.5;
9.00341;0.57864;0.579147;2.65544;2.5;
9.00342;0.576292;0.576823;2.64128;2.5;
9.00343;0.573855;0.574408;2.62652;2.5;
9.00344;0.571339;0.571912;2.61122;2.5;
9.00345;0.568754;0.569345;2.59543;2.5;
9.00346;0.56611;0.566717;2.57923;2.5;
9.00347;0.563418;0.564038;2.56267;2.5;
9.00348;0.560688;0.561319;2.54582;2.5;
9.00349;0.557932;0.55857;2.52876;2.5;
9.0035;0.55516;0.555804;2.51153;2.5;
9.00351;0.552383;0.55303;2.49422;2.5;
9.00352;0.549612;0.55026;2.47689;2.5;
9.00353;0.546859;0.547505;2.45962;2.5;
9.00354;0.544134;0.544775;2.44246;2.5;
9.00355;0.541449;0.542082;2.42549;2.5;
9.00356;0.538813;0.539437;2.40878;2.5;
9.00357;0.536237;0.536849;2.39239;2.5;
9.00358;0.533731;0.534328;2.37639;2.5;
9.00359;0.531306;0.531886;2.36084;2.5;
9.0036;0.528971;0.529532;2.3458;2.5;
9.00361;0.526735;0.527274;2.33134;2.5;
9.00362;0.524606;0.525122;2.3175;2.5;
9.00363;0.522594;0.523084;2.30434;2.5;
9.00364;0.520706;0.521168;2.29192;2.5;
9.00365;0.518949;0.519381;2.28028;2.5;
9.00366;0.51733;0.517731;2.26947;2.5;
9.00367;0.515855;0.516224;2.25954;2.5;
9.00368;0.514531;0.514866;2.25051;2.5;
9.00369;0.513362;0.513661;2.24242;2.5;
9.0037;0.512353;0.512615;2.23531;2.5;
9.00371;0.511507;0.511732;2.22921;2.5;
9.00372;0.510828;0.511015;2.22413;2.5;
9.00373;0.510319;0.510466;2.2201;2.5;
9.00374;0.509981;0.510089;2.21713;2.5;
9.00375;0.509816;0.509883;2.21524;2.5;
9.00376;0.509824;0.509851;2.21442;2.5;
9.00377;0.510005;0.509992;2.21469;2.5;
9.00378;0.51036;0.510306;2.21605;2.5;
9.00379;0.510885;0.510791;2.21848;2.5;
9.0038;0.51158;0.511446;2.22198;2.5;
9.00381;0.512441;0.512268;2.22653;2.5;
9.00382;0.513466;0.513254;2.23213;2.5;
9.00383;0.51465;0.5144;2.23873;2.5;
9.00384;0.515988;0.515701;2.24633;2.5;
9.00385;0.517477;0.517154;2.25489;2.5;
9.00386;0.519109;0.518752;2.26438;2.5;
9.00387;0.520879;0.520488;2.27476;2.5;
9.00388;0.522779;0.522357;2.28598;2.5;
9.00389;0.524803;0.52435;2.29802;2.5;
9.0039;0.526942;0.526461;2.31081;2.5;
9.00391;0.529188;0.528681;2.32432;2.5;
9.00392;0.531532;0.531;2.33847;2.5;
9.00393;0.533965;0.533411;2.35323;2.5;
9.00394;0.536477;0.535904;2.36854;2.5;
9.00395;0.539059;0.538468;2.38432;2.5;
9.00396;0.5417;0.541093;2.40052;2.5;
9.00397;0.54439;0.54377;2.41708;2.5;
9.00398;0.547118;0.546487;2.43393;2.5;
9.00399;0.549873;0.549234;2.451;2.5;
9.004;0.552645;0.552;2.46822;2.5;
9.00401;0.555422;0.554774;2.48553;2.5;
9.00402;0.558193;0.557545;2.50286;2.5;
9.00403;0.560947;0.560301;2.52013;2.5;
9.00404;0.563673;0.563032;2.53729;2.5;
9.00405;0.566361;0.565728;2.55426;2.5;
9.00406;0.569;0.568376;2.57097;2.5;
9.00407;0.571579;0.570967;2.58736;2.5;
9.00408;0.574088;0.573491;2.60336;2.5;
9.00409;0.576517;0.575937;2.61891;2.5;
9.0041;0.578857;0.578296;2.63395;2.5;
9.00411;0.581097;0.580558;2.64841;2.5;
9.00412;0.58323;0.582715;2.66225;2.5;
9.00413;0.585247;0.584757;2.67541;2.5;
9.00414;0.58714;0.586678;2.68783;2.5;
9.00415;0.588902;0.588469;2.69947;2.5;
9.00416;0.590525;0.590124;2.71028;2.5;
9.00417;0.592004;0.591635;2.72022;2.5;
9.00418;0.593332;0.592997;2.72924;2.5;
9.00419;0.594505;0.594205;2.73733;2.5;
9.0042;0.595517;0.595254;2.74444;2.5;
9.00421;0.596366;0.596141;2.75054;2.5;
9.00422;0.597047;0.59686;2.75562;2.5;
9.00423;0.597558;0.59741;2.75965;2.5;
9.00424;0.597897;0.597789;2.76262;2.5;
9.00425;0.598063;0.597995;2.76451;2.5;
9.00426;0.598054;0.598027;2.76533;2.5;
9.00427;0.597872;0.597885;2.76506;2.5;
9.00428;0.597517;0.597571;2.7637;2.5;
9.00429;0.59699;0.597084;2.76127;2.5;
9.0043;0.596293;0.596426;2.75777;2.5;
9.00431;0.595429;0.595602;2.75322;2.5;
9.00432;0.594401;0.594613;2.74762;2.5;
9.00433;0.593213;0.593463;2.74102;2.5;
9.00434;0.59187;0.592157;2.73342;2.5;
9.00435;0.590378;0.5907;2.72486;2.5;
9.00436;0.588741;0.589098;2.71537;2.5;
9.00437;0.586967;0.587357;2.70499;2.5;
9.00438;0.585062;0.585484;2.69377;2.5;
9.00439;0.583033;0.583485;2.68173;2.5;
9.0044;0.58089;0.58137;2.66894;2.5;
9.00441;0.578639;0.579146;2.65544;2.5;
9.00442;0.576291;0.576822;2.64128;2.5;
9.00443;0.573854;0.574407;2.62652;2.5;
9.00444;0.571338;0.571911;2.61122;2.5;
9.00445;0.568753;0.569344;2.59543;2.5;
9.00446;0.566109;0.566716;2.57923;2.5;
9.00447;0.563417;0.564037;2.56267;2.5;
9.00448;0.560687;0.561318;2.54582;2.5;
9.00449;0.557931;0.55857;2.52876;2.5;
9.0045;0.555159;0.555803;2.51153;2.5;
9.00451;0.552382;0.553029;2.49422;2.5;
9.00452;0.549611;0.550259;2.47689;2.5;
9.00453;0.546858;0.547504;2.45962;2.5;
9.00454;0.544133;0.544774;2.44246;2.5;
9.00455;0.541448;0.542081;2.42549;2.5;
9.00456;0.538812;0.539436;2.40878;2.5;
9.00457;0.536236;0.536848;2.39239;2.5;
9.00458;0.533731;0.534328;2.37639;2.5;
9.00459;0.531305;0.531885;2.36084;2.5;
9.0046;0.52897;0.529531;2.3458;2.5;
9.00461;0.526734;0.527273;2.33134;2.5;
9.00462;0.524606;0.525121;2.3175;2.5;
9.00463;0.522593;0.523083;2.30434;2.5;
9.00464;0.520705;0.521167;2.29192;2.5;
9.00465;0.518948;0.519381;2.28028;2.5;
9.00466;0.517329;0.517731;2.26947;2.5;
9.00467;0.515854;0.516223;2.25954;2.5;
9.00468;0.51453;0.514865;2.25051;2.5;
9.00469;0.513361;0.51366;2.24242;2.5;
9.0047;0.512352;0.512615;2.23531;2.5;
9.00471;0.511506;0.511731;2.22921;2.5;
9.00472;0.510827;0.511014;2.22413;2.5;
9.00473;0.510318;0.510465;2.2201;2.5;
9.00474;0.50998;0.510088;2.21713;2.5;
9.00475;0.509815;0.509882;2.21524;2.5;
9.00476;0.509823;0.50985;2.21442;2.5;
9.00477;0.510004;0.509991;2.21469;2.5;
9.00478;0.510359;0.510305;2.21605;2.5;
9.00479;0.510884;0.51079;2.21848;2.5;
9.0048;0.511579;0.511445;2.22198;2.5;
9.00481;0.51244;0.512267;2.22653;2.5;
9.00482;0.513465;0.513253;2.23213;2.5;
9.00483;0.514649;0.514399;2.23873;2.5;
9.00484;0.515987;0.5157;2.24633;2.5;
9.00485;0.517476;0.517153;2.25489;2.5;
9.00486;0.519108;0.518751;2.26438;2.5;
9.00487;0.520878;0.520487;2.27476;2.5;
9.00488;0.522778;0.522356;2.28598;2.5;
9.00489;0.524802;0.524349;2.29802;2.5;
9.0049;0.526941;0.52646;2.31081;2.5;
9.00491;0.529187;0.52868;2.32432;2.5;
9.00492;0.531531;0.531;2.33847;2.5;
9.00493;0.533964;0.53341;2.35323;2.5;
9.00494;0.536476;0.535903;2.36854;2.5;
9.00495;0.539058;0.538467;2.38432;2.5;
9.00496;0.541699;0.541092;2.40052;2.5;
9.00497;0.544389;0.543769;2.41708;2.5;
9.00498;0.547117;0.546486;2.43393;2.5;
9.00499;0.549872;0.549233;2.451;2.5;
9.005;0.552644;0.551999;2.46822;2.5;
9.00501;0.555421;0.554773;2.48553;2.5;
9.00502;0.558192;0.557544;2.50286;2.5;
9.00503;0.560946;0.5603;2.52013;2.5;
9.00504;0.563673;0.563032;2.53729;2.5;
9.00505;0.566361;0.565727;2.55426;2.5;
9.00506;0.568999;0.568375;2.57097;2.5;
9.00507;0.571578;0.570966;2.58736;2.5;
9.00508;0.574087;0.57349;2.60336;2.5;
9.00509;0.576516;0.575936;2.61891;2.5;
9.0051;0.578856;0.578295;2.63395;2.5;
9.00511;0.581096;0.580557;2.64841;2.5;
9.00512;0.583229;0.582714;2.66225;2.5;
9.00513;0.585246;0.584757;2.67541;2.5;
9.00514;0.587139;0.586677;2.68783;2.5;
9.00515;0.588901;0.588468;2.69947;2.5;
9.00516;0.590524;0.590123;2.71028;2.5;
9.00517;0.592003;0.591634;2.72022;2.5;
9.00518;0.593331;0.592996;2.72924;2.5;
9.00519;0.594504;0.594204;2.73733;2.5;
9.0052;0.595516;0.595254;2.74444;2.5;
9.00521;0.596365;0.59614;2.75054;2.5;
9.00522;0.597046;0.596859;2.75562;2.5;
9.00523;0.597557;0.597409;2.75965;2.5;
9.00524;0.597896;0.597788;2.76262;2.5;
9.00525;0.598062;0.597994;2.76451;2.5;
9.00526;0.598053;0.598026;2.76533;2.5;
9.00527;0.597871;0.597884;2.76506;2.5;
9.00528;0.597516;0.59757;2.7637;2.5;
9.00529;0.596989;0.597083;2.76127;2.5;
9.0053;0.596292;0.596426;2.75777;2.5;
9.00531;0.595428;0.595601;2.75322;2.5;
9.00532;0.5944;0.594612;2.74762;2.5;
9.00533;0.593212;0.593462;2.74102;2.5;
9.00534;0.591869;0.592156;2.73342;2.5;
9.00535;0.590377;0.590699;2.72486;2.5;
9.00536;0.58874;0.589097;2.71537;2.5;
9.00537;0.586966;0.587356;2.70499;2.5;
9.00538;0.585061;0.585483;2.69377;2.5;
9.00539;0.583032;0.583484;2.68173;2.5;
9.0054;0.580889;0.581369;2.66894;2.5;
9.00541;0.578638;0.579145;2.65544;2.5;
9.00542;0.57629;0.576821;2.64128;2.5;
9.00543;0.573853;0.574406;2.62652;2.5;
9.00544;0.571337;0.57191;2.61122;2.5;
9.00545;0.568752;0.569343;2.59543;2.5;
9.00546;0.566108;0.566715;2.57923;2.5;
9.00547;0.563416;0.564036;2.56267;2.5;
9.00548;0.560686;0.561317;2.54582;2.5;
9.00549;0.55793;0.558569;2.52876;2.5;
9.0055;0.555158;0.555802;2.51153;2.5;
9.00551;0.552381;0.553028;2.49422;2.5;
9.00552;0.54961;0.550258;2.47689;2.5;
